49075	33035	5
40038	22141	1
21601	33791	1
51698	51697	1
19961	10579	1
30889	30901	1
43723	59012	1
7951	26701	1
7169	56112	1
53022	20840	2
14092	9735	1
65324	1965	1
38274	58267	1
38213	27031	1
38412	52275	3
30892	21951	1
19774	5394	2
44092	41376	4
39185	30255	5
27537	59146	1
40834	58427	1
24512	19022	2
51903	32463	9
45723	59072	1
23039	33209	1
14377	37132	1
42944	14165	1
39097	15682	1
6897	11774	1
42713	45309	11
64049	8069	1
1724	18288	4
13463	45817	1
59664	52649	1
10536	21665	1
46259	51370	1
14556	5235	3
4856	924	4
37699	50579	1
59996	60738	106
18252	8837	1
32334	61196	2
23003	5895	1
11342	29900	2
17670	54056	2
9673	16183	1
62125	11397	1
34471	10053	1
57214	28599	1
62702	2214	2
50265	43425	45
53585	64821	1
48661	58441	1
209	20824	19
43485	60206	1
16026	61737	3
3507	48361	1
57398	26510	22
54256	3204	4
56410	6390	10
57260	547	1
22574	53850	2
11945	57045	5
63903	3623	1
20109	61069	1
5838	4838	2
38958	59423	1
4123	22083	1
52328	4333	1
42907	30277	1
64539	58934	1
26479	2510	1
41759	18341	1
29021	30479	1
21545	19895	5
36870	13270	10
20443	59444	1
1584	32388	12
50953	65487	1
36011	5526	1
61020	41849	1
10364	34442	2
35736	14488	8
56526	22529	1
18821	33897	1
52806	17824	2
27295	13749	1
20334	3518	2
32090	49355	5
33998	53636	2
3715	5332	1
1370	24158	2
64776	2954	2
56546	50193	1
2905	27021	1
55720	63925	5
3335	548	1
32831	39071	1
15036	23821	7
61600	33857	1
57719	48871	1
51681	19478	1
62620	6480	20
22997	29175	1
55835	56995	5
17275	59550	25
62327	18645	1
18172	61567	11
21599	9182	1
46224	24504	24
36204	36408	12
22893	39539	1
36957	55724	1
13074	51993	3
14010	9139	1
20315	6193	1
58010	6460	10
25671	55094	1
12940	48668	4
18733	3240	1
40127	36008	1
62790	36918	42
54653	15427	1
32949	10716	3
24609	13638	3
35220	60813	3
50046	58113	3
34816	21467	1
48302	47891	1
7925	62312	1
57030	28240	10
2969	49504	1
34700	28640	20
39062	47641	1
11773	57796	1
50881	51900	1
28268	48135	1
23283	17386	1
63562	56232	2
28102	22636	2
4334	63323	1
17913	54381	3
55900	52730	10
10312	38666	2
35085	18237	3
35442	26579	1
46477	38411	1
